CODEILE;BAGUEUR;LIEUDIT;BG;SG;ESPECE;ACTION;CONDREPR;CIRCREPR;BAGUE;DATE;HEURE;SEXE;AGE;COLONIE;SECTEUR;TERRIER;BP;EB;LT;MA;NATURE;RMQTERRIER;PERIODEJN;THEME;CENTRE;PAYS;DEPT;LOCALITE;STADE;LP;MEMO;PRIMAIRE;SECONDAIRE;RECTRICE;COUV;COUD;RG;PL;PR;ASG;CHAMP1;CHAMP2;CHAMP3;CHAMP4;MESURE1;MESURE2;MESURE3;MESURE4
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;B;;0;FS56092;19/01/2006;19H47;;;PC1;B;20D;;;47,8;510;;;;PROG PERS;FRP;FR;83;HYERES;ad;240,5;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;B;;0;FS56093;20/01/2006;18H59;;;PC1;B;20D;;;45,55;445;;;;PROG PERS;FRP;FR;83;HYERES;ad;238;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;B;;0;FS56094;20/01/2006;19H20;;;PC1;B;16;;;50,15;455;;;;PROG PERS;FRP;FR;83;HYERES;ad;243;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;B;;0;FS56095;31/01/2006;19H32;;;PC1;B;23;;;47,95;395;;;;PROG PERS;FRP;FR;83;HYERES;ad;;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;B;;0;FS56096;15/02/2006;19H15;;;PC1;B;20;;;49,55;505;;;;PROG PERS;FRP;FR;83;HYERES;ad;243;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;C;;0;FT67737;16/02/2006;19H22;M;;PC1;A;83D;;;48,2;465;;;;PROG PERS;FRP;FR;83;HYERES;ad;247;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;B;;0;FS56097;16/02/2006;19H35;;;PC1;A;83;;;48,2;470;;;;PROG PERS;FRP;FR;83;HYERES;ad;241;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;C;;0;FT85342;16/02/2006;19H55;M;;PC1;A;A3;;;;;;;;PROG PERS;FRP;FR;83;HYERES;ad;;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;B;;0;FS56098;16/02/2006;20H00;;;PC1;A;A3;;;48;365;;;;PROG PERS;FRP;FR;83;HYERES;ad;243;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;B;;0;FS56099;16/02/2006;20H25;;;PC1;B;16;;;49;460;;;;PROG PERS;FRP;FR;83;HYERES;ad;248,5;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;B;;0;FS64751;18/02/2006;20H06;;;PC1;B;24;;;45,45;365;;;;PROG PERS;FRP;FR;83;HYERES;ad;229,5;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;C;;0;FT67725;19/02/2006;19H33;;;PC1;C;A66;;;47,1;420;;;;PROG PERS;FRP;FR;83;HYERES;ad;247,5;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;B;;0;FS56100;19/02/2006;19H47;;;PC1;C;53;;;48,3;495;;;;PROG PERS;FRP;FR;83;HYERES;ad;240;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;B;;0;FS64752;21/02/2006;19H38;M;;PC1;B;22;;;47,4;440;;;;PROG PERS;FRP;FR;83;HYERES;ad;245;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;B;;0;FS64762;26/02/2006;19H38;;;PC1;B;17;;;49,55;435;;;;PROG PERS;FRP;FR;83;HYERES;ad;242;;;;;;;1;;;;;;;;;;;
FSHY002;GILLET, Pascal;Port-Cros;LEGRAND, Jerome;;PUFYEL;B;;0;FS64763;27/02/2006;19H15;;;PC4;C;1;;;47;475;;;;PROG PERS;FRP;FR;83;HYERES;ad;243,5;;;;;;;1;;;;;;;;;;;
